Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
J Gilliam,2B,1956,1163,1889,65,558,416,0.265,0.36
R Johnson,LF,1320,518,1014,65,408,728,0.279,0.335
A Jackson,CF,1115,621,1145,65,381,1120,0.273,0.333
J Vosmik,OF,1413,818,1682,65,874,272,0.307,0.369
P Fox,RF,1461,895,1678,65,694,471,0.298,0.347
J Hermida,RF,632,248,517,65,250,517,0.257,0.334
O Burns,RF,1187,869,1389,65,832,182,0.3,0.368
D Mueller,RF,1245,499,1292,65,520,146,0.296,0.322
C Spikes,OF,670,240,502,65,256,388,0.246,0.304
J Kelley,LF,739,1421,2220,65,1194,163,0.317,0.402
I Noren,CF,1093,443,857,65,453,350,0.275,0.348
T Grieve,LF,671,209,474,65,254,424,0.249,0.301
B Wynegar,C,1301,498,1102,65,506,428,0.255,0.348
M Sanguillen,C,1448,566,1500,65,585,331,0.296,0.326
B Holliday,CF,928,728,1135,65,617,211,0.311,0.376
J Collins,3B,956,1055,1999,65,983,32,0.294,0.343
J Lahoud,RF,791,239,429,65,218,340,0.223,0.334
L Clinton,RF,691,270,532,65,269,418,0.247,0.308
M Anderson,2B,1151,392,849,63,371,471,0.265,0.314
D Norris,C,610,242,453,63,247,541,0.23,0.304
B Kennedy,RF,1485,514,1176,63,514,443,0.254,0.309
C Johnson,3B,839,256,773,63,339,753,0.275,0.313
R Ledee,LF,855,290,494,63,318,495,0.243,0.325
T Houston,3B,700,197,479,63,253,408,0.265,0.312
T Leach,CF,1996,1355,2143,63,810,278,0.269,0.34
L Moss,C,824,210,552,63,276,316,0.247,0.333
J Marisnick,CF,831,277,451,63,213,650,0.228,0.281
M Nieves,RF,458,163,284,63,187,483,0.231,0.314
J Newman,C,735,189,475,63,233,369,0.224,0.264
R Laureano,RF,410,226,368,63,185,438,0.251,0.324
C Pinder,LF,553,204,388,62,197,475,0.242,0.294
E Hendricks,C,711,205,415,62,230,319,0.22,0.306
G Urshela,SS,605,249,549,62,258,410,0.276,0.322
T Puhl,RF,1530,676,1361,62,435,507,0.28,0.349
C Heisey,LF,697,218,380,62,178,414,0.238,0.296
D Brown,C,636,175,455,62,223,356,0.244,0.291
D Revering,1B,557,205,486,62,234,240,0.265,0.318
D Bautista,RF,895,317,685,62,319,409,0.272,0.315
R Davis,CF,1448,637,1111,62,387,844,0.262,0.311
S Horn,DH,389,132,250,62,179,323,0.24,0.328
K Abbott,SS,702,273,523,62,242,571,0.256,0.305
B Crosby,SS,747,329,605,62,276,516,0.236,0.304
B Phillips,3B,1062,348,835,62,356,314,0.255,0.297
C Guzman,SS,1406,727,1459,62,467,783,0.271,0.307
D Clark,RF,905,248,518,62,284,451,0.264,0.338
D Lyons,3B,1121,932,1333,62,755,213,0.31,0.407
J Bloodworth,2B,1002,347,874,62,451,407,0.248,0.292
S Schebler,OF,394,174,299,61,167,340,0.237,0.314
B Johnson,3B,964,419,882,61,487,290,0.271,0.346
W Garrett,3B,1092,438,786,61,340,529,0.239,0.35
G Thomasson,CF,900,315,591,61,294,463,0.249,0.33
J Wilson,SS,1370,565,1294,61,426,619,0.265,0.306
D Alexander,1B,662,369,811,61,459,197,0.331,0.394
L Frey,2B,1535,848,1482,61,549,525,0.269,0.359
M Trillo,2B,1780,598,1562,61,571,742,0.263,0.316
A Zarilla,OF,1120,507,975,61,456,382,0.276,0.357
M Rivers,CF,1468,785,1660,61,499,471,0.295,0.327
R Fosse,C,924,299,758,61,324,363,0.256,0.306
J Priddy,2B,1296,612,1252,61,541,639,0.265,0.353
I Stewart,3B,511,202,341,61,211,473,0.229,0.315
R Smalley,SS,872,277,601,61,305,541,0.227,0.3
B Schroeder,C,376,153,303,61,152,343,0.24,0.281
J Rizzo,LF,557,268,497,61,289,197,0.27,0.345
J Lane,P,500,165,292,61,189,258,0.241,0.314
D Lenhardt,LF,481,192,401,61,239,235,0.271,0.365
J Choi,1B,488,178,350,61,225,444,0.238,0.344
W Cromartie,LF,1107,459,1104,61,391,403,0.281,0.336
J Reed,C,1234,311,774,61,323,566,0.25,0.334
A Robinson,C,610,208,478,61,272,194,0.26,0.375
